id;nom
D30-01;Coeur d'agglomération
D30-02;IP Nord
D30-03;IP Sud
D30-04;Nord Est
D30-05;Nord Ouest
D30-06;Sud Est
D30-07;Sud Ouest
D30-08;Cap Atlantique Nord
D30-09;Cap Atlantique Sud
D30-10;CARENE hors Saint-Nazaire
D30-11;Saint-Nazaire
D30-12;Pays de Pont-Château Saint-Gildas-des-Bois
D30-13;Loire et Sillon
D30-14;Pays de Retz
D30-15;Coeur d'Estuaire et région de Blain
D30-16;Erdre et Gesvres
D30-17;Pays de Redon et Vilaine
D30-18;Pays de Chateaubriant
D30-19;Pays d'Ancenis
D30-20;Vignoble Nantais
D30-21;Pays de Retz
D30-22;Communes du département 49
D30-EXT1;Redon
D30-EXT2;Reste de la France
D30-EXT3;Reste du Monde
D30-Ind;Indéterminé
;
