;D30-01;D30-02;D30-03;D30-04;D30-05;D30-06;D30-07;D30-08;D30-09;D30-10;D30-11;D30-12;D30-13;D30-14;D30-15;D30-16;D30-17;D30-18;D30-19;D30-20;D30-21;D30-22;D30-EXT1;D30-EXT2;D30-EXT3;D30-Ind;total
D30-01;269229;8731;1179;93;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;279281
D30-02;8813;153186;218;476;487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163180
D30-03;1039;279;71784;86;0;393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0;0;73666
D30-04;36;330;0;44882;0;0;0;0;0;0;0;0;0;0;0;93;0;0;0;0;0;0;0;0;0;0;45341
D30-05;96;453;0;0;33542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34091
D30-06;0;0;510;0;0;14308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14819
D30-07;0;0;0;0;0;0;22050;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22050
D30-08;0;0;0;0;0;0;0;17040;38;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17130
D30-09;0;0;0;0;0;0;0;38;30499;399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30936
D30-10;0;0;0;0;0;0;0;52;399;27624;367;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28442
D30-11;0;0;0;0;0;0;0;0;0;439;68230;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68668
D30-12;0;0;0;0;0;0;0;0;0;0;0;14786;0;0;0;0;48;0;0;0;0;0;0;0;0;0;14833
D30-13;0;0;0;0;0;0;0;0;0;0;0;0;10895;0;0;0;0;0;0;0;0;0;0;0;0;0;10895
D30-14;0;0;0;0;0;0;0;0;0;0;0;0;0;54836;0;0;0;0;0;0;0;0;0;0;0;0;54836
D30-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18934;0;0;0;0;0;0;0;0;0;0;0;18934
D30-16;0;0;0;56;0;0;0;0;0;0;0;0;0;0;0;29206;0;0;0;0;0;0;0;0;0;0;29262
D30-17;0;0;0;0;0;0;0;0;0;0;0;48;0;0;0;0;9351;0;0;0;0;0;107;0;0;0;9505
D30-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30544;0;0;0;0;0;32;0;0;30576
D30-19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39272;0;0;0;0;153;0;0;39426
D30-20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48835;0;0;0;0;0;0;48835
D30-21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28573;0;0;0;0;0;28573
D30-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;83;0;0;0;0;83
D30-EXT1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;107;0;0;0;0;0;1160;0;0;0;1267
D30-EXT2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;153;0;0;0;0;12096;0;0;12282
D30-EXT3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;84
D30-Ind;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;200
total;279213;162979;73691;45592;34078;14702;22050;17130;30936;28513;68597;14833;10895;54836;18934;29299;9505;30576;39426;48835;28659;83;1267;12282;84;200;1077194
