;D30-01;D30-02;D30-03;D30-04;D30-05;D30-06;D30-07;D30-08;D30-09;D30-10;D30-11;D30-12;D30-13;D30-14;D30-15;D30-16;D30-17;D30-18;D30-19;D30-20;D30-21;D30-22;D30-EXT1;D30-EXT2;D30-EXT3;D30-Ind;total
D30-01;65337;45761;15131;6095;4858;1814;1679;324;274;206;539;309;553;873;625;2002;0;378;1439;2952;1379;33;0;772;0;0;153332
D30-02;45164;46760;3482;7918;6259;445;587;0;29;63;137;53;234;212;339;1389;181;300;122;371;525;0;0;299;0;0;114870
D30-03;14932;4193;17404;568;539;2510;1025;0;0;0;0;61;44;160;55;0;0;120;0;1246;1110;0;0;279;0;0;44247
D30-04;6662;6773;854;10649;0;25;142;0;0;0;0;45;44;99;0;730;0;55;172;0;0;0;0;305;0;0;26555
D30-05;4660;6085;369;0;3695;0;0;0;0;0;182;0;44;0;101;169;0;58;85;69;80;0;0;76;0;0;15674
D30-06;1720;445;2375;0;0;3349;54;0;0;0;0;0;0;0;0;0;0;0;0;843;0;0;0;35;0;0;8821
D30-07;1742;923;1195;27;0;97;4103;0;0;0;0;0;0;509;0;0;0;0;0;0;86;0;0;27;0;0;8709
D30-08;290;0;0;0;0;0;0;1600;1712;336;455;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4457
D30-09;305;29;0;0;0;0;0;1284;3971;496;153;154;0;0;0;0;0;0;0;0;0;0;0;52;0;0;6445
D30-10;180;0;0;0;0;0;0;386;775;3561;3335;325;48;35;0;0;0;0;0;0;0;0;0;39;0;0;8683
D30-11;568;68;0;0;182;0;0;593;144;3225;12215;163;246;1141;0;0;0;0;0;0;0;0;0;212;0;0;18757
D30-12;337;53;0;45;0;0;0;64;154;377;111;4480;95;0;0;0;102;0;0;59;0;0;281;129;0;0;6287
D30-13;533;343;44;44;44;0;0;0;0;48;210;95;2916;0;379;0;0;0;0;0;0;0;0;40;0;0;4696
D30-14;929;212;37;99;0;0;629;0;0;35;1022;0;0;10063;0;0;0;0;0;0;357;0;0;74;0;46;13503
D30-15;533;339;55;0;188;0;0;0;0;0;0;0;461;0;3409;768;82;216;0;0;0;0;0;0;0;0;6052
D30-16;1902;1535;117;964;169;0;0;0;0;0;0;0;0;0;827;4537;325;88;357;0;0;0;0;0;0;0;10822
D30-17;0;181;0;0;0;0;0;0;0;0;0;60;0;0;82;325;1556;41;41;0;0;0;492;43;0;0;2822
D30-18;338;400;120;55;58;0;0;0;0;0;0;0;0;0;332;88;0;7353;0;0;0;0;0;191;0;0;8934
D30-19;1406;122;0;172;85;0;0;0;0;0;0;0;0;0;0;357;41;0;6460;0;0;245;0;526;0;0;9413
D30-20;2907;476;1339;0;123;889;0;0;0;0;0;59;0;0;0;0;0;0;0;11404;495;0;0;566;0;0;18258
D30-21;1420;525;1282;0;80;0;187;0;0;0;0;0;0;378;0;0;0;0;0;325;6910;0;0;310;0;0;11418
D30-22;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;195;0;0;0;0;0;0;0;229
D30-EXT1;0;0;0;0;0;0;0;0;45;0;0;281;0;0;0;0;480;0;0;0;0;0;0;0;0;0;806
D30-EXT2;1748;708;431;418;328;25;27;0;99;70;132;286;80;74;0;67;0;270;492;634;354;0;0;392;0;0;6636
D30-EXT3;114;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114
D30-Ind;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;46
total;153760;115932;44237;27056;16607;9154;8432;4250;7204;8417;18491;6435;4765;13590;6149;10432;2768;8880;9363;17902;11297;278;773;4367;0;46;510584
