;D30-01;D30-02;D30-03;D30-04;D30-05;D30-06;D30-07;D30-08;D30-09;D30-10;D30-11;D30-12;D30-13;D30-14;D30-15;D30-16;D30-17;D30-18;D30-19;D30-20;D30-21;D30-22;D30-EXT1;D30-EXT2;D30-EXT3;D30-Ind;total
D30-01;440832;112314;39254;21488;19681;5244;5964;368;1252;1378;1225;773;1798;2615;1711;6222;558;1347;2479;9767;5910;33;0;3785;0;39;686040
D30-02;112620;391511;15755;41470;45389;3655;4066;231;242;1515;663;598;1386;1949;2313;11676;526;1872;2002;5112;3056;88;64;4132;0;0;651890
D30-03;38997;15986;240347;8768;7867;24691;16441;0;31;313;453;61;327;3301;1089;1817;167;491;984;13180;12724;0;0;2664;0;0;390698
D30-04;23161;39215;9074;190060;7319;2033;1152;0;470;226;264;852;917;868;1260;11592;170;885;4815;6867;1351;0;0;1792;0;0;304343
D30-05;19571;44822;7997;7152;135302;1231;4811;262;890;590;838;1013;1826;2364;4676;6453;272;1421;908;1930;2256;0;51;1677;0;0;248314
D30-06;4802;3396;24712;2423;1423;52952;580;0;60;286;0;0;186;306;166;215;0;135;464;10282;3027;0;0;957;0;0;106372
D30-07;5919;4059;16436;1249;4266;951;88719;0;71;199;165;0;270;4642;271;293;0;275;0;779;3768;0;0;411;0;0;132741
D30-08;290;440;55;92;264;0;0;66131;12916;3502;3365;1707;275;212;228;133;0;0;56;0;0;0;61;2547;0;0;92275
D30-09;926;563;124;394;615;60;71;13000;147571;16863;9062;780;112;1291;0;109;0;176;0;51;116;0;0;558;0;0;192441
D30-10;1296;1023;519;368;924;31;135;3386;17013;134696;42129;6726;1541;4489;572;39;269;369;95;251;148;0;0;675;174;0;216868
D30-11;1239;721;340;414;997;0;189;3069;8729;41631;216304;3084;1750;8168;1091;188;155;87;0;0;87;0;0;707;0;0;288950
D30-12;759;539;135;692;1128;0;0;1866;784;6447;3108;76298;3426;30;1155;355;2472;289;0;149;0;0;639;831;0;170;101273
D30-13;1826;1558;384;848;1850;112;158;404;163;1457;1825;3228;53685;435;3350;1253;865;400;71;49;106;0;52;330;0;0;74408
D30-14;3265;2655;3298;951;2011;180;4518;272;1496;4359;7879;30;435;239966;173;81;0;424;138;625;6314;0;0;1167;0;240;280477
D30-15;1437;2745;420;1267;4685;150;453;197;0;562;1068;1206;3560;173;66809;6051;1269;4101;53;51;119;0;61;185;0;260;96881
D30-16;5918;11954;1986;11979;5883;166;133;191;112;68;305;596;1074;122;6141;117349;559;3983;5568;473;542;0;0;892;0;187;176183
D30-17;504;526;127;223;417;0;0;0;0;143;255;2319;865;105;1397;518;41240;1341;41;0;0;0;4785;1369;0;41;56216
D30-18;1207;2018;537;896;1517;261;275;0;137;484;0;63;351;316;3975;4166;1319;165627;2493;287;0;0;375;4482;0;73;190860
D30-19;2647;2391;971;4719;990;438;0;0;0;42;0;0;0;130;53;5155;41;2749;171103;1204;224;1174;71;7016;0;183;201302
D30-20;9995;5285;12387;6345;2142;10601;938;0;52;318;0;59;100;823;155;601;0;223;1333;223439;3878;223;0;9935;0;425;289254
D30-21;6101;3183;12885;1369;2142;2912;3818;0;116;102;163;0;106;5606;125;558;0;67;253;4037;152349;0;0;5481;0;51;201426
D30-22;33;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1207;287;0;171;0;265;0;0;2052
D30-EXT1;0;0;0;0;51;0;0;61;45;0;0;717;0;0;113;0;4873;339;0;0;0;0;2360;181;0;0;8741
D30-EXT2;5279;4579;3187;2564;2073;1424;463;2413;1198;898;913;897;370;2348;287;1185;1431;4258;7424;10452;5620;265;217;53902;0;429;114075
D30-EXT3;114;0;0;0;0;21;0;0;0;174;37;0;0;0;0;0;0;0;0;0;0;0;0;178;415;0;940
D30-Ind;145;0;0;0;187;0;0;57;0;33;0;170;0;189;123;0;41;73;124;605;51;0;0;143;0;200;2141
total;688885;651571;390929;305730;249124;107113;132883;91908;193346;216285;290021;101176;74362;280450;97234;176010;56229;190932;201611;289876;201647;1955;8737;106261;589;2297;5107163
