;D30-01;D30-02;D30-03;D30-04;D30-05;D30-06;D30-07;D30-08;D30-09;D30-10;D30-11;D30-12;D30-13;D30-14;D30-15;D30-16;D30-17;D30-18;D30-19;D30-20;D30-21;D30-22;D30-EXT1;D30-EXT2;D30-EXT3;D30-Ind;total
D30-01;23487;4690;1625;513;200;34;0;0;0;0;0;0;0;0;0;0;0;0;0;61;0;0;0;0;0;0;30611
D30-02;4857;7966;122;361;268;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13648
D30-03;1543;262;7689;118;0;202;52;0;0;0;0;0;0;0;0;0;0;0;76;0;0;0;0;0;0;0;9941
D30-04;517;448;118;3338;56;0;0;0;0;0;0;0;0;0;0;38;0;0;0;0;0;0;0;0;0;0;4515
D30-05;200;268;0;56;1061;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;0;0;1639
D30-06;34;74;202;0;0;1104;0;0;0;0;0;0;0;0;0;0;0;0;0;207;0;0;0;0;0;0;1620
D30-07;25;0;52;0;0;0;1538;0;0;0;0;0;0;42;0;0;0;0;0;0;102;0;0;0;0;0;1758
D30-08;0;0;0;0;0;0;0;1869;275;43;0;0;0;0;0;26;0;0;0;0;0;0;0;0;0;0;2214
D30-09;0;0;0;0;0;0;0;275;5085;486;171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6017
D30-10;0;0;0;0;0;0;0;0;486;2510;673;133;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3803
D30-11;0;0;0;0;0;0;0;43;171;630;6544;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7483
D30-12;0;0;0;0;0;0;0;0;0;133;94;1346;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1574
D30-13;0;0;0;0;0;0;0;0;0;0;0;0;760;0;0;0;0;0;0;0;0;0;0;0;0;0;760
D30-14;0;0;0;0;0;0;42;0;0;0;0;0;0;8295;0;0;0;0;0;0;69;0;0;0;0;0;8406
D30-15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1869;58;0;0;0;0;0;0;0;0;0;81;2008
D30-16;0;0;0;38;53;0;0;26;0;0;0;0;0;0;58;1151;0;0;0;0;0;0;0;0;0;0;1325
D30-17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;684;0;0;0;0;0;145;0;0;0;829
D30-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3184;158;0;0;0;0;0;0;0;3342
D30-19;0;0;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;3395;0;0;0;0;54;0;0;3683
D30-20;61;0;0;0;0;207;0;0;0;0;0;0;0;0;0;0;0;0;0;5680;0;0;0;0;0;0;5948
D30-21;0;0;0;0;0;0;102;0;0;0;0;0;0;69;0;0;0;0;0;0;5029;0;0;0;0;0;5199
D30-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D30-EXT1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;0;0;0;0;0;0;0;0;0;145
D30-EXT2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;0;0;0;0;0;0;0;54
D30-EXT3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D30-Ind;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
total;30725;13708;9884;4423;1639;1620;1733;2214;6017;3803;7483;1574;760;8406;1927;1325;829;3342;3683;5948;5199;0;145;54;0;81;116522
