;D30-01;D30-02;D30-03;D30-04;D30-05;D30-06;D30-07;D30-08;D30-09;D30-10;D30-11;D30-12;D30-13;D30-14;D30-15;D30-16;D30-17;D30-18;D30-19;D30-20;D30-21;D30-22;D30-EXT1;D30-EXT2;D30-EXT3;D30-Ind;total
D30-01;75827;51018;20065;13811;13990;3043;4164;44;961;1036;686;464;1245;1742;1087;3884;319;969;929;6754;4212;0;0;3012;0;39;209300
D30-02;51565;177548;11159;31994;37047;2998;3357;231;213;1384;526;545;1152;1737;1921;9446;344;1532;1880;4589;2531;88;64;3560;0;0;347412
D30-03;20143;10286;140617;7815;6774;21190;15011;0;31;313;453;0;283;2997;1034;1661;167;370;728;11287;11041;0;0;2322;0;0;254524
D30-04;15331;30743;7789;127572;7115;1734;1010;0;470;226;264;770;874;738;1199;10383;170;831;4418;6740;1279;0;0;1373;0;0;221029
D30-05;14123;36970;6855;6712;94214;1027;4563;262;890;542;585;1013;1782;2237;4157;6075;272;1134;824;1757;2006;0;51;1448;0;0;189499
D30-06;2758;2740;21042;2128;1219;32690;351;0;60;242;0;0;186;306;150;215;0;135;464;8705;2884;0;0;863;0;0;77138
D30-07;4031;2961;14865;1221;3982;743;57109;0;0;199;165;0;270;3911;221;266;0;275;0;630;3539;0;0;306;0;0;94694
D30-08;0;440;55;92;264;0;0;45100;10771;2945;2640;1562;275;212;228;107;0;0;56;0;0;0;61;2399;0;0;67208
D30-09;603;533;124;394;615;60;0;11235;103866;14508;8493;560;112;1258;0;42;0;132;0;0;116;0;0;477;0;0;143126
D30-10;860;1023;519;368;805;31;135;2872;14210;97339;36127;6160;1424;4118;572;0;205;337;95;251;148;0;0;552;0;0;168152
D30-11;671;652;340;414;814;0;189;2260;8169;35626;125392;2826;1505;6717;1091;135;155;87;0;0;87;0;0;310;0;0;187441
D30-12;422;487;135;610;1067;0;0;1721;563;5900;2903;55094;3291;30;1106;355;2277;289;0;90;0;0;358;628;0;170;77497
D30-13;1292;1215;340;804;1805;112;88;404;112;1372;1614;3093;37762;435;2971;1253;612;351;71;49;106;0;52;290;0;0;56205
D30-14;2336;2376;3111;821;1920;180;3610;272;1463;4027;6577;30;435;159459;173;81;0;424;138;625;5627;0;0;1093;0;194;194972
D30-15;904;2353;349;1267;3975;150;403;197;0;498;1068;1096;3099;173;41343;5043;969;3723;53;51;119;0;61;185;0;178;67256
D30-16;3735;9573;1713;10509;5496;166;106;165;0;29;252;596;1074;122;5118;81213;234;3663;4751;473;542;0;0;730;0;187;130448
D30-17;424;344;127;223;258;0;0;0;0;143;255;2165;783;105;1034;193;29281;1233;0;0;0;0;4042;1285;0;41;41936
D30-18;870;1580;417;842;1230;261;275;0;137;452;0;63;302;316;3437;3926;1252;121864;2282;287;0;0;227;4259;0;73;144351
D30-19;1130;2269;767;4380;847;412;0;0;0;42;0;0;0;130;53;4338;0;2538;119149;1178;171;895;71;6006;0;149;144526
D30-20;7027;4658;10485;6246;2019;8895;831;0;52;318;0;0;100;823;51;601;0;223;1308;153994;3283;223;0;8945;0;425;210506
D30-21;4263;2567;11140;1311;1850;2771;3458;0;116;102;87;0;106;4898;125;558;0;67;253;3613;109769;0;0;5123;0;51;152228
D30-22;0;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;978;287;0;88;0;265;0;0;1706
D30-EXT1;0;0;0;0;51;0;0;61;0;0;0;436;0;0;113;0;4084;191;0;0;0;0;1061;181;0;0;6180
D30-EXT2;3480;3554;2563;1961;1579;1341;391;2298;1069;670;688;611;290;2174;203;1014;1390;3955;6421;9302;5218;265;217;37555;0;355;88564
D30-EXT3;0;0;0;0;0;21;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;75;331;0;464
D30-Ind;145;0;0;0;187;0;0;57;0;0;0;170;0;144;123;0;41;73;90;605;51;0;0;101;0;0;1787
total;211940;345977;254577;221495;189127;77825;95052;67178;143154;167913;188812;77252;56349;194783;67509;130789;41776;144396;144885;211268;152730;1560;6265;83343;331;1863;3278148
