;D30-01;D30-02;D30-03;D30-04;D30-05;D30-06;D30-07;D30-08;D30-09;D30-10;D30-11;D30-12;D30-13;D30-14;D30-15;D30-16;D30-17;D30-18;D30-19;D30-20;D30-21;D30-22;D30-EXT1;D30-EXT2;D30-EXT3;D30-Ind;total
D30-01;22841;12291;1283;953;601;187;75;0;0;0;0;0;0;0;0;87;0;87;0;0;0;0;0;37;0;0;38441
D30-02;9179;32488;917;1101;771;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;211;0;0;44724
D30-03;2207;1623;16318;191;111;1767;143;0;0;0;0;0;0;60;0;0;0;0;68;219;189;0;0;183;0;0;23078
D30-04;1303;4877;353;12846;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19409
D30-05;1116;3546;0;214;7475;0;0;0;69;0;0;0;0;0;216;110;0;0;0;0;0;0;0;0;0;0;12746
D30-06;553;558;1301;25;0;3789;0;0;0;0;0;0;0;0;0;0;0;0;0;124;0;0;0;0;0;0;6350
D30-07;347;803;1381;0;216;0;6252;0;0;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9072
D30-08;182;0;0;0;0;0;0;2472;2006;127;691;0;0;0;0;0;0;0;0;0;0;0;61;61;0;0;5601
D30-09;0;0;0;0;0;0;0;0;6703;161;464;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7328
D30-10;0;141;0;0;0;0;0;380;522;5910;3090;238;48;0;42;0;0;0;0;0;0;0;0;0;0;0;10372
D30-11;0;47;118;0;76;0;0;0;22;855;14675;0;0;92;0;0;0;0;0;0;0;0;0;80;0;0;15966
D30-12;0;53;61;0;0;0;0;64;240;49;288;5197;53;0;62;0;0;39;0;0;0;0;281;0;0;0;6384
D30-13;80;266;0;0;0;0;0;0;0;0;267;87;4525;0;109;0;170;0;0;0;0;0;0;0;0;0;5503
D30-14;302;0;75;129;46;0;753;0;0;0;1023;0;0;14223;0;0;0;0;0;0;308;0;0;0;0;46;16904
D30-15;277;486;0;0;148;0;182;0;0;0;80;0;331;0;4450;100;0;0;0;0;0;0;0;0;0;0;6055
D30-16;747;2118;142;1110;118;0;0;0;0;0;0;0;0;0;849;8420;0;0;461;0;0;0;0;0;0;0;13965
D30-17;0;117;44;0;0;0;0;0;0;0;0;536;0;0;82;266;2497;41;41;0;0;0;814;0;0;0;4439
D30-18;0;368;0;70;135;0;0;0;0;0;0;0;0;0;303;88;0;10960;0;0;0;0;0;166;0;0;12090
D30-19;238;209;0;213;0;47;0;0;0;0;0;0;0;0;0;144;0;0;12929;0;0;245;0;444;0;0;14469
D30-20;339;918;1362;0;69;1556;0;0;0;0;0;0;0;0;0;0;0;0;0;14853;85;0;0;661;0;0;19844
D30-21;766;317;1303;0;76;49;277;0;0;0;0;0;0;70;0;0;0;0;0;589;10477;0;0;380;0;0;14305
D30-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D30-EXT1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D30-EXT2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D30-EXT3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D30-Ind;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
total;40479;61227;24657;16852;9841;7482;7682;2916;9561;7177;20578;6057;4956;14445;6114;9214;2667;11127;13499;15785;11058;245;1157;2224;0;46;307045
