;D30-01;D30-02;D30-03;D30-04;D30-05;D30-06;D30-07;D30-08;D30-09;D30-10;D30-11;D30-12;D30-13;D30-14;D30-15;D30-16;D30-17;D30-18;D30-19;D30-20;D30-21;D30-22;D30-EXT1;D30-EXT2;D30-EXT3;D30-Ind;total
D30-01;16748;5605;2856;2158;2913;400;416;0;0;108;365;38;137;0;309;221;0;0;88;395;260;0;0;1296;0;0;34312
D30-02;10749;10447;1725;3787;4221;309;800;0;28;311;213;100;83;51;62;763;0;109;151;371;375;0;64;438;0;0;35156
D30-03;6597;1921;6542;2195;1982;1044;1331;0;31;135;49;0;0;0;0;0;0;0;71;721;910;0;0;415;0;0;23944
D30-04;3803;2894;1741;8135;1334;187;78;0;0;56;0;0;0;0;0;180;0;0;589;345;172;0;0;143;0;0;19657
D30-05;2352;2211;1418;875;4939;158;380;0;0;82;118;0;148;0;312;207;0;0;0;208;175;0;0;248;0;0;13830
D30-06;1120;482;1625;671;545;1058;19;0;0;0;0;0;0;91;100;21;0;0;0;376;345;0;0;94;0;0;6548
D30-07;1389;625;1778;559;856;100;2982;0;0;25;26;0;56;54;0;0;0;62;0;197;175;0;0;127;0;0;9011
D30-08;108;53;0;0;123;0;0;2507;1742;513;910;318;0;52;0;38;0;0;0;0;0;0;0;602;0;0;6964
D30-09;142;0;0;37;218;0;0;654;6130;1724;1057;0;0;125;0;0;0;0;0;0;0;0;0;53;0;0;10140
D30-10;118;63;114;31;143;0;0;135;1287;7422;3952;391;49;360;63;0;0;0;42;0;0;0;0;84;0;0;14252
D30-11;94;62;0;88;47;0;0;199;925;6076;8804;116;91;182;59;0;0;0;0;0;0;0;0;0;0;0;16744
D30-12;224;192;0;323;574;0;0;261;220;1223;1366;4036;651;0;57;0;49;122;0;59;0;0;186;60;0;0;9602
D30-13;519;641;168;472;617;66;0;0;0;429;626;317;1731;188;819;171;18;98;0;0;0;0;52;110;0;0;7042
D30-14;1110;872;1428;455;517;37;515;0;198;957;1921;0;49;11711;47;0;0;0;48;147;583;0;0;39;0;0;20632
D30-15;244;682;309;481;1346;0;74;0;0;95;504;61;355;0;2142;1039;140;534;0;0;0;0;0;92;0;178;8277
D30-16;1908;2911;594;3118;2007;0;0;0;0;0;81;253;290;81;350;2943;0;364;796;0;0;0;0;279;0;0;15976
D30-17;46;318;0;80;108;0;0;0;0;44;62;350;260;0;107;0;1420;411;0;0;0;0;563;352;0;0;4120
D30-18;224;336;160;648;348;89;0;0;0;0;0;0;106;0;451;809;140;11378;633;54;0;0;0;1547;0;0;16923
D30-19;1102;953;644;1554;410;64;0;0;0;0;0;0;0;0;0;418;0;97;11162;40;0;329;0;2229;0;0;19000
D30-20;4505;1915;3206;2750;867;939;575;0;0;93;0;0;0;83;0;193;0;0;387;9766;610;0;0;3661;0;85;29635
D30-21;2084;693;3002;665;655;535;604;0;0;0;36;0;51;783;51;209;0;0;86;610;9827;0;0;1197;0;0;21089
D30-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D30-EXT1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D30-EXT2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D30-EXT3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D30-Ind;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
total;55185;33877;27308;29085;24771;4985;7774;3756;10560;19293;20090;5980;4059;13760;4927;7213;1767;13174;14052;13289;13430;329;864;13063;0;264;342855
