;D30-01;D30-02;D30-03;D30-04;D30-05;D30-06;D30-07;D30-08;D30-09;D30-10;D30-11;D30-12;D30-13;D30-14;D30-15;D30-16;D30-17;D30-18;D30-19;D30-20;D30-21;D30-22;D30-EXT1;D30-EXT2;D30-EXT3;D30-Ind;Ensemble
D30-01;42843;19815;3228;2017;1558;666;208;182;0;111;0;0;108;302;124;656;0;87;191;158;632;0;0;37;0;0;72923
D30-02;19267;61887;1963;5677;3981;616;599;0;0;40;47;53;234;0;439;1578;117;368;209;843;317;0;0;211;0;0;98446
D30-03;3190;2234;30229;463;111;2815;958;0;0;0;118;61;0;172;0;142;44;0;68;1581;1541;0;0;183;0;0;43907
D30-04;1881;5644;544;24306;214;54;0;0;0;0;0;0;0;0;0;946;0;0;213;0;0;0;0;0;0;0;33802
D30-05;1791;4374;56;214;14065;0;216;0;113;0;0;0;0;46;317;228;0;135;0;69;76;0;0;0;0;0;21698
D30-06;740;616;2412;54;0;6921;0;0;0;0;0;0;0;0;0;0;0;0;47;1475;49;0;0;0;0;0;12313
D30-07;422;803;1486;0;216;0;11839;0;0;74;0;0;0;579;0;0;0;0;0;0;228;0;0;0;0;0;15647
D30-08;182;0;0;0;0;0;0;4801;2006;449;691;64;0;0;0;0;0;0;0;0;0;0;61;61;0;0;8316
D30-09;0;0;0;0;0;0;0;1863;12034;842;486;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15464
D30-10;0;141;0;0;0;0;74;508;602;10453;3810;287;48;0;42;0;0;0;0;0;0;0;0;0;0;0;15965
D30-11;0;47;118;0;76;0;0;691;618;3216;28016;89;214;1023;262;0;0;0;0;0;0;0;0;80;0;0;34450
D30-12;0;53;61;0;0;0;0;64;240;202;288;9904;139;0;62;0;643;39;0;0;0;0;281;0;0;0;11974
D30-13;80;266;0;0;0;0;0;0;0;48;267;139;8743;0;358;0;170;49;0;0;0;0;0;0;0;0;10120
D30-14;302;0;75;129;46;0;753;0;0;0;1116;0;0;26490;0;0;0;0;0;0;357;0;0;0;0;46;29313
D30-15;277;486;0;0;452;0;182;0;0;42;80;62;440;0;8384;1020;82;343;0;0;0;0;0;0;0;0;11851
D30-16;747;2118;142;1110;228;0;0;0;0;0;0;0;0;0;949;16041;266;88;605;0;0;0;0;0;0;0;22293
D30-17;0;117;44;0;0;0;0;0;0;0;0;536;170;0;82;266;4629;41;41;0;0;0;814;0;0;0;6742
D30-18;0;368;0;70;135;0;0;0;0;0;0;0;0;0;303;88;41;20568;0;0;0;0;0;166;0;0;21739
D30-19;238;209;68;213;0;47;0;0;0;0;0;0;0;0;0;605;41;0;24345;0;0;245;0;444;0;0;26455
D30-20;339;918;1581;0;69;1655;0;0;0;0;0;0;0;0;0;0;0;0;0;28240;447;0;0;661;0;0;33910
D30-21;766;317;1492;0;76;49;277;0;0;0;0;0;0;378;0;0;0;0;0;628;19533;0;0;380;0;0;23897
D30-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;195;0;0;0;0;0;0;0;195
D30-EXT1;0;0;0;0;0;0;0;0;45;0;0;281;0;0;0;0;758;0;0;0;0;0;0;0;0;0;1084
D30-EXT2;37;220;231;0;0;0;0;61;0;0;0;157;0;0;0;0;0;67;341;661;380;0;0;0;0;0;2155
D30-EXT3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D30-Ind;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;46
Ensemble;73103;100632;43728;34254;21227;12823;15106;8170;15658;15475;34917;11872;10097;29036;11322;21569;6792;21784;26254;33655;23560;245;1157;2224;0;46;574706
;;;;;;;;;;;;;;;;;;;;;;;;;;;
