;D30-01;D30-02;D30-03;D30-04;D30-05;D30-06;D30-07;D30-08;D30-09;D30-10;D30-11;D30-12;D30-13;D30-14;D30-15;D30-16;D30-17;D30-18;D30-19;D30-20;D30-21;D30-22;D30-EXT1;D30-EXT2;D30-EXT3;D30-Ind;total
D30-01;20002;7524;1945;1064;957;479;133;182;0;111;0;0;108;302;124;568;0;0;191;158;632;0;0;0;0;0;34482
D30-02;10089;29398;1047;4577;3211;558;599;0;0;40;47;53;234;0;439;1578;117;368;209;843;317;0;0;0;0;0;53722
D30-03;983;610;13911;272;0;1048;815;0;0;0;118;61;0;112;0;142;44;0;0;1362;1352;0;0;0;0;0;20829
D30-04;578;767;191;11460;214;25;0;0;0;0;0;0;0;0;0;946;0;0;213;0;0;0;0;0;0;0;14393
D30-05;674;828;56;0;6590;0;216;0;45;0;0;0;0;46;101;118;0;135;0;69;76;0;0;0;0;0;8952
D30-06;187;58;1111;29;0;3132;0;0;0;0;0;0;0;0;0;0;0;0;47;1351;49;0;0;0;0;0;5964
D30-07;75;0;105;0;0;0;5587;0;0;0;0;0;0;579;0;0;0;0;0;0;228;0;0;0;0;0;6575
D30-08;0;0;0;0;0;0;0;2330;0;321;0;64;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2715
D30-09;0;0;0;0;0;0;0;1863;5331;681;22;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8136
D30-10;0;0;0;0;0;0;74;127;81;4542;720;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5592
D30-11;0;0;0;0;0;0;0;691;596;2361;13341;89;214;930;262;0;0;0;0;0;0;0;0;0;0;0;18484
D30-12;0;0;0;0;0;0;0;0;0;153;0;4707;87;0;0;0;643;0;0;0;0;0;0;0;0;0;5590
D30-13;0;0;0;0;0;0;0;0;0;48;0;53;4219;0;249;0;0;49;0;0;0;0;0;0;0;0;4617
D30-14;0;0;0;0;0;0;0;0;0;0;92;0;0;12267;0;0;0;0;0;0;49;0;0;0;0;0;12409
D30-15;0;0;0;0;303;0;0;0;0;42;0;62;109;0;3935;920;82;343;0;0;0;0;0;0;0;0;5797
D30-16;0;0;0;0;110;0;0;0;0;0;0;0;0;0;100;7621;266;88;144;0;0;0;0;0;0;0;8328
D30-17;0;0;0;0;0;0;0;0;0;0;0;0;170;0;0;0;2132;0;0;0;0;0;0;0;0;0;2303
D30-18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;9608;0;0;0;0;0;0;0;0;9649
D30-19;0;0;68;0;0;0;0;0;0;0;0;0;0;0;0;461;41;0;11415;0;0;0;0;0;0;0;11985
D30-20;0;0;219;0;0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;13386;362;0;0;0;0;0;14066
D30-21;0;0;189;0;0;0;0;0;0;0;0;0;0;308;0;0;0;0;0;39;9056;0;0;0;0;0;9592
D30-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;195;0;0;0;0;0;0;0;195
D30-EXT1;0;0;0;0;0;0;0;0;45;0;0;281;0;0;0;0;758;0;0;0;0;0;0;0;0;0;1084
D30-EXT2;37;220;231;0;0;0;0;61;0;0;0;157;0;0;0;0;0;67;341;661;380;0;0;0;0;0;2155
D30-EXT3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D30-Ind;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0;0;0;46
total;32624;39405;19072;17402;11385;5341;7424;5254;6097;8299;14340;5814;5141;14591;5208;12354;4125;10657;12755;17870;12502;0;0;0;0;0;267661
