;D30-01;D30-02;D30-03;D30-04;D30-05;D30-06;D30-07;D30-08;D30-09;D30-10;D30-11;D30-12;D30-13;D30-14;D30-15;D30-16;D30-17;D30-18;D30-19;D30-20;D30-21;D30-22;D30-EXT1;D30-EXT2;D30-EXT3;D30-Ind;total
D30-01;175268;25934;10876;4353;6111;1362;1816;0;538;336;375;250;388;534;266;1192;212;239;787;2680;1322;33;0;912;0;0;235784
D30-02;26455;87676;4556;10799;14795;1354;1184;0;36;731;272;369;395;540;609;2480;44;552;377;1106;248;0;0;1308;0;0;155886
D30-03;9892;4881;55710;1565;2210;6400;3150;0;0;82;113;0;111;899;293;641;0;86;72;2491;2413;0;0;673;0;0;91681
D30-04;6112;10261;2124;48896;2199;764;387;0;92;66;183;454;451;249;529;2338;0;279;1001;1989;484;0;0;546;0;0;79401
D30-05;5587;14490;2884;1926;41052;232;1092;178;228;284;381;212;263;178;1037;1308;107;493;336;396;741;0;0;616;0;0;74022
D30-06;856;1124;7446;544;340;14525;139;0;60;210;0;0;74;177;66;194;0;47;76;2031;518;0;0;349;0;0;28778
D30-07;1371;737;4980;389;737;170;20913;0;71;37;0;0;182;723;50;0;0;0;0;189;771;0;0;81;0;0;31401
D30-08;0;0;0;0;46;0;0;12849;1918;858;572;398;0;50;0;0;0;0;0;0;0;0;0;446;0;0;17137
D30-09;417;41;36;67;226;60;71;1485;34658;3582;2151;118;57;178;0;67;0;86;0;0;50;0;0;191;0;0;43543
D30-10;481;440;0;161;546;0;37;636;3316;33438;9575;1001;405;1350;82;39;64;301;0;81;148;0;0;200;174;0;52473
D30-11;622;433;0;293;400;0;0;534;2005;10501;50472;974;204;2376;232;108;0;36;0;0;51;0;0;169;0;0;69411
D30-12;234;195;74;181;427;0;0;557;118;863;487;14896;497;0;422;58;425;0;0;90;0;0;56;225;0;62;19869
D30-13;368;446;123;0;737;0;0;46;108;399;150;494;10352;37;246;259;139;126;0;0;55;0;0;0;0;0;14084
D30-14;659;554;779;222;46;95;709;33;125;883;2018;0;0;52286;79;81;0;98;0;69;1603;0;0;174;0;121;60632
D30-15;292;869;16;483;575;50;50;0;0;169;156;198;646;0;14915;618;250;1113;0;0;0;0;0;37;0;81;20520
D30-16;633;1993;601;1957;867;166;0;69;112;39;225;261;102;0;997;29509;124;727;640;0;129;0;0;286;0;0;39437
D30-17;0;0;83;53;266;0;0;0;0;0;0;245;230;0;385;146;7034;337;0;0;0;0;577;200;0;41;9597
D30-18;191;815;129;0;528;172;0;0;86;32;0;0;49;58;1501;1134;689;36797;533;106;0;0;334;1183;0;0;44337
D30-19;341;536;0;1145;189;102;0;0;0;0;0;0;0;40;53;1064;0;484;33481;508;138;281;0;1481;0;93;39937
D30-20;1555;722;2189;819;645;2194;107;0;0;148;0;59;0;203;104;147;0;0;469;45078;837;146;0;1594;0;125;57139
D30-21;1408;475;2113;454;513;824;737;0;50;60;127;0;55;1250;0;65;0;67;85;970;32298;0;0;1559;0;0;43110
D30-22;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;158;69;0;171;0;265;0;0;698
D30-EXT1;0;0;0;0;0;0;0;0;0;0;0;173;0;0;113;0;1234;219;0;0;0;0;2360;181;0;0;4281
D30-EXT2;1915;1250;990;786;620;201;188;400;244;279;349;168;53;128;0;463;303;1071;1664;2765;1115;265;217;53902;0;429;69765
D30-EXT3;0;0;0;0;0;0;0;0;0;174;0;0;0;0;0;0;0;0;0;0;0;0;0;178;415;0;767
D30-Ind;106;0;0;0;187;0;0;57;0;33;0;0;0;0;0;0;0;73;34;67;51;0;0;143;0;200;951
total;234796;153872;95709;75096;74262;28672;30580;16845;43763;53203;67606;20271;14514;61256;21979;41910;10625;43230;39714;60686;42972;897;3543;66901;589;1151;1304641
