;D30-01;D30-02;D30-03;D30-04;D30-05;D30-06;D30-07;D30-08;D30-09;D30-10;D30-11;D30-12;D30-13;D30-14;D30-15;D30-16;D30-17;D30-18;D30-19;D30-20;D30-21;D30-22;D30-EXT1;D30-EXT2;D30-EXT3;D30-Ind;total
D30-01;265565;86380;28379;17135;13570;3882;4148;368;714;1042;850;523;1410;2082;1445;5030;346;1108;1693;7087;4588;0;0;2872;0;39;450256
D30-02;86164;303835;11199;30671;30595;2301;2881;231;206;784;391;229;992;1410;1704;9196;482;1319;1626;4006;2808;88;64;2824;0;0;496004
D30-03;29105;11105;184637;7203;5657;18292;13291;0;31;231;340;61;217;2403;796;1176;167;405;912;10688;10312;0;0;1991;0;0;299017
D30-04;17049;28954;6950;141164;5121;1269;765;0;378;160;81;399;467;619;732;9254;170;606;3814;4878;867;0;0;1246;0;0;224943
D30-05;13984;30332;5114;5226;94250;999;3719;84;662;306;456;801;1563;2186;3639;5145;165;928;572;1534;1515;0;51;1061;0;0;174292
D30-06;3946;2272;17266;1878;1082;38427;441;0;0;76;0;0;112;129;100;21;0;89;388;8252;2509;0;0;607;0;0;77593
D30-07;4548;3322;11456;859;3528;781;67806;0;0;162;165;0;88;3918;221;293;0;275;0;590;2997;0;0;330;0;0;101341
D30-08;290;440;55;92;218;0;0;53281;10998;2644;2793;1309;275;162;228;133;0;0;56;0;0;0;61;2101;0;0;75138
D30-09;509;521;88;326;388;0;0;11515;112913;13281;6911;662;55;1112;0;42;0;91;0;51;66;0;0;367;0;0;148898
D30-10;815;583;519;207;378;31;98;2750;13697;101257;32554;5725;1136;3139;491;0;205;68;95;170;0;0;0;475;0;0;164395
D30-11;617;287;340;121;596;0;189;2534;6724;31131;165832;2110;1546;5791;859;81;155;51;0;0;36;0;0;538;0;0;219539
D30-12;526;344;61;511;701;0;0;1310;665;5584;2621;61402;2928;30;733;296;2047;289;0;59;0;0;584;605;0;109;81404
D30-13;1458;1112;261;848;1113;112;158;359;55;1058;1675;2733;43333;398;3104;995;726;274;71;49;51;0;52;330;0;0;60324
D30-14;2606;2101;2520;729;1966;85;3809;239;1371;3476;5862;30;435;187680;94;0;0;326;138;555;4711;0;0;993;0;119;219846
D30-15;1145;1876;404;784;4110;100;403;197;0;393;911;1007;2914;173;51894;5433;1018;2988;53;51;119;0;61;147;0;178;76361
D30-16;5285;9961;1385;10022;5015;0;133;122;0;29;81;335;972;122;5144;87840;435;3256;4928;473;413;0;0;607;0;187;136746
D30-17;504;526;44;170;152;0;0;0;0;143;255;2073;635;105;1013;371;34206;1004;41;0;0;0;4209;1169;0;0;46619
D30-18;1017;1204;408;896;989;89;275;0;51;452;0;63;302;258;2474;3032;630;128830;1960;181;0;0;40;3299;0;73;146523
D30-19;2307;1854;971;3574;801;336;0;0;0;42;0;0;0;90;0;4091;41;2266;137622;696;86;893;71;5535;0;90;161365
D30-20;8440;4563;10198;5526;1496;8407;831;0;52;170;0;0;100;620;51;454;0;223;864;178361;3041;77;0;8341;0;300;232115
D30-21;4692;2708;10772;915;1629;2088;3081;0;66;42;36;0;51;4356;125;494;0;0;168;3067;120052;0;0;3922;0;51;158316
D30-22;0;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1049;218;0;0;0;0;0;0;1355
D30-EXT1;0;0;0;0;51;0;0;61;45;0;0;544;0;0;0;0;3639;120;0;0;0;0;0;0;0;0;4460
D30-EXT2;3364;3330;2197;1778;1453;1223;274;2013;954;619;564;729;316;2220;287;722;1128;3186;5759;7687;4505;0;0;0;0;0;44310
D30-EXT3;114;0;0;0;0;21;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;173
D30-Ind;39;0;0;0;0;0;0;0;0;0;0;170;0;189;123;0;41;0;90;538;0;0;0;0;0;0;1190
total;454090;497699;295220;230633;174862;78441;102304;75064;149584;163082;222415;80906;59848;219194;75255;134099;45604;147702;161897;229191;158675;1058;5194;39360;0;1147;3802522
