;D30-01;D30-02;D30-03;D30-04;D30-05;D30-06;D30-07;D30-08;D30-09;D30-10;D30-11;D30-12;D30-13;D30-14;D30-15;D30-16;D30-17;D30-18;D30-19;D30-20;D30-21;D30-22;D30-EXT1;D30-EXT2;D30-EXT3;D30-Ind;Ensemble
D30-01;13658;8772;6358;3652;2239;1214;1044;57;233;152;149;212;273;745;177;1562;46;191;792;3127;1689;0;0;0;0;0;46341
D30-02;4431;8420;1652;2467;2228;426;335;53;0;63;62;76;524;629;560;1848;274;191;651;1452;872;0;0;0;0;0;27215
D30-03;2358;1387;5806;1543;1529;1601;1436;0;0;0;0;0;124;1004;309;292;83;120;495;2742;2895;0;0;0;0;0;23725
D30-04;1841;2992;1549;7756;422;415;332;0;37;73;0;121;348;416;237;2911;170;374;1269;2037;532;0;0;0;0;0;23833
D30-05;2493;3565;1439;1155;4249;448;780;0;370;43;47;515;692;399;1083;1850;67;96;257;539;404;0;0;0;0;0;20490
D30-06;318;164;664;187;158;1039;26;0;0;0;0;0;66;37;0;0;0;89;64;758;493;0;0;0;0;0;4062
D30-07;451;796;905;0;439;19;2626;0;0;64;0;0;0;333;74;0;0;0;0;393;428;0;0;0;0;0;6528
D30-08;0;0;0;0;0;0;0;1784;797;208;199;261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3249
D30-09;0;0;0;0;0;0;0;1620;5709;1239;767;220;0;198;0;0;0;0;0;0;0;0;0;0;0;0;9751
D30-10;108;257;135;56;0;0;25;462;1877;7094;5590;1217;422;716;95;0;44;0;0;93;0;0;0;0;0;0;18191
D30-11;228;135;49;0;161;0;50;801;1039;3160;8303;1056;586;1658;249;81;0;0;0;0;36;0;0;0;0;0;17593
D30-12;38;100;0;0;0;0;0;318;0;419;144;3794;254;0;61;253;152;0;0;0;0;0;0;0;0;0;5535
D30-13;53;83;0;0;44;0;56;33;0;37;101;324;1709;49;271;106;215;106;0;0;51;0;0;0;0;0;3237
D30-14;0;51;0;0;0;48;133;102;262;349;136;0;188;9822;0;0;0;0;0;83;865;0;0;0;0;0;12037
D30-15;288;0;0;0;383;100;0;0;0;39;31;158;659;126;1571;350;107;176;53;0;51;0;0;0;0;0;4092
D30-16;221;707;0;396;207;0;0;38;0;0;0;0;118;0;617;2407;0;599;307;145;129;0;0;0;0;0;5891
D30-17;81;0;0;0;0;0;0;0;0;0;0;49;18;0;84;0;1385;182;0;0;0;0;0;0;0;0;1799
D30-18;0;0;0;88;0;0;62;0;0;0;0;0;49;0;471;491;222;8876;0;0;0;0;0;0;0;0;10257
D30-19;88;89;71;516;0;0;0;0;0;42;0;0;0;0;0;318;0;484;10039;176;86;0;0;0;0;0;11909
D30-20;241;314;707;438;42;365;142;0;0;0;0;0;0;217;0;0;0;54;51;8845;393;0;0;0;0;0;11809
D30-21;152;429;886;172;69;270;175;0;0;42;0;0;0;685;73;0;0;0;0;488;7815;0;0;0;0;0;11256
D30-22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;362;0;0;0;0;0;0;0;362
D30-EXT1;0;0;0;0;0;0;0;0;0;0;0;129;0;0;0;0;347;0;0;0;0;0;0;0;0;0;476
D30-EXT2;947;679;474;236;201;94;71;470;163;155;0;60;110;44;176;210;326;1183;2004;3094;1166;0;0;0;0;0;11863
D30-EXT3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
D30-Ind;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;0;0;0;0;143;0;0;0;0;0;0;266
Ensemble;27995;28941;20697;18663;12370;6040;7292;5738;10486;13178;15530;8190;6139;17078;6230;12679;3437;12720;16345;24114;17907;0;0;0;0;0;291767
