;A1;A2;A3;A4;A5;A6;A7;total
D30-01;14541;8476;28428;30307;18546;18076;19643;138016
D30-02;24780;14874;23552;23955;27033;30623;27634;172451
D30-03;13280;9010;9763;12970;16991;18648;18730;99392
D30-04;11741;8472;9332;10057;12431;15574;10932;78540
D30-05;8025;6109;4799;6406;9537;10717;9368;54961
D30-06;3592;3074;2636;2541;4779;6190;4827;27638
D30-07;6835;4619;3477;4110;7441;7325;6520;40328
D30-08;4734;2873;1639;2622;6953;7634;6131;32586
D30-09;4545;4068;2454;3623;8318;11965;13270;48243
D30-10;8738;5261;3633;6609;12725;12126;9751;58844
D30-11;8560;5702;5890;7829;13578;13597;13597;68751
D30-12;6052;2785;2098;4469;7345;6654;4852;34254
D30-13;4857;2338;1395;3058;6423;4099;2904;25074
D30-14;12791;8114;4560;8727;18214;18288;16795;87489
D30-15;4989;2726;1785;3216;6625;5197;3693;28231
D30-16;10674;6398;3622;5855;15066;11408;6560;59582
D30-17;3479;1977;1178;2124;4569;4458;3890;21674
D30-18;10117;5452;3507;7096;12756;11396;9991;60315
D30-19;11510;5770;3688;8303;13978;11281;8894;63424
D30-20;17871;9462;6172;12394;23511;18224;11952;99586
D30-21;11909;6188;3844;7049;16714;11973;8803;66479
D30-22;1926;868;569;1485;2265;1619;1291;10023
total;205545;124615;128021;174807;265796;257070;220029;1375881
