;O1;O2;O3;O4;O5;O6;O7;O8;O9;total
D30-01;46471;8000;2875;20043;16094;9699;23449;2812;1243;130687
D30-02;47847;11974;2107;13113;28033;14027;35555;5619;2273;160548
D30-03;31158;7460;2043;3379;16559;5910;24230;2077;592;93409
D30-04;25306;5148;1243;4874;15431;3971;15880;1274;500;73627
D30-05;19202;2753;997;1877;10433;1636;13178;1124;317;51517
D30-06;9386;2265;324;983;5320;497;6508;766;148;26198
D30-07;12034;3000;957;934;8351;1651;8551;1232;701;37411
D30-08;9068;3409;0;298;5861;2018;8784;756;241;30435
D30-09;15697;2386;421;680;6816;1440;16364;1662;1014;46478
D30-10;20243;3699;305;818;10458;2981;13313;2657;496;54970
D30-11;20246;4769;1066;1871;10733;5957;16609;2171;1728;65149
D30-12;12071;2496;157;210;6307;1181;7176;1408;328;31332
D30-13;9265;2026;0;274;5346;1058;4094;737;82;22882
D30-14;28593;8268;0;1233;16030;4134;20821;2439;476;81995
D30-15;9926;2788;184;740;5704;594;4935;1017;150;26038
D30-16;22481;5436;0;2254;12942;1121;9431;1330;179;55174
D30-17;6462;1581;73;669;4009;1010;5193;782;359;20138
D30-18;19618;5492;0;968;11252;3546;12361;1566;926;55729
D30-19;23572;6033;203;724;12299;2259;11503;1282;292;58167
D30-20;38605;10031;127;2016;19588;3142;16601;1193;327;91631
D30-21;26398;4932;89;1314;13029;1902;11847;1190;487;61186
D30-22;4061;662;0;280;1965;282;1791;55;98;9194
total;457711;104611;13171;59549;242561;70015;288171;35150;12957;1283896
